time,baseline_effective_mass,gated_effective_mass,baseline_gap,gated_gap,baseline_chern,gated_chern,baseline_transition_margin,gated_transition_margin
6.0500,1.651886,1.574761,0.815259,0.939262,1,1,0.348114,0.425239
6.1000,1.501442,1.424527,1.064504,1.201103,1,1,0.498558,0.575473
6.1500,1.356879,1.280124,1.324373,1.466805,1,1,0.643121,0.719876
6.2000,1.251977,1.175585,1.519579,1.663969,1,1,0.748023,0.824415
6.2500,1.187451,1.111587,1.641442,1.786009,1,1,0.812549,0.888413
6.3000,1.156463,1.080908,1.700343,1.844798,1,1,0.843537,0.919092
6.3500,1.145142,1.069683,1.721914,1.866350,1,1,0.854858,0.930317
6.4000,1.143355,1.067905,1.725322,1.869766,1,1,0.856645,0.932095
6.4500,1.145901,1.070459,1.720467,1.864859,1,1,0.854099,0.929541
6.5000,1.150341,1.074946,1.712005,1.856243,1,1,0.849659,0.925054
6.5500,1.155524,1.080231,1.702130,1.846098,1,1,0.844476,0.919769
6.6000,1.160920,1.085779,1.691857,1.835454,1,1,0.839080,0.914221
6.6500,1.166300,1.091337,1.681621,1.824795,1,1,0.833700,0.908663
6.7000,1.171565,1.096817,1.671609,1.814292,1,1,0.828435,0.903183
6.7500,1.176667,1.102189,1.661913,1.804001,1,1,0.823333,0.897811
6.8000,1.181601,1.107444,1.652543,1.793938,1,1,0.818399,0.892556
6.8500,1.186368,1.112582,1.643497,1.784105,1,1,0.813632,0.887418
6.9000,1.190971,1.117603,1.634765,1.774502,1,1,0.809029,0.882397
6.9500,1.195414,1.122507,1.626342,1.765125,1,1,0.804586,0.877493
7.0000,1.199702,1.127298,1.618218,1.755972,1,1,0.800298,0.872702
7.0500,1.203839,1.131975,1.610386,1.747039,1,1,0.796161,0.868025
7.1000,1.207827,1.136541,1.602838,1.738323,1,1,0.792173,0.863459
7.1500,1.211672,1.140996,1.595566,1.729821,1,1,0.788328,0.859004
7.2000,1.215376,1.145344,1.588563,1.721530,1,1,0.784624,0.854656
7.2500,1.218944,1.149584,1.581821,1.713447,1,1,0.781056,0.850416
7.3000,1.222380,1.153719,1.575333,1.705567,1,1,0.777620,0.846281
7.3500,1.225686,1.157751,1.569092,1.697889,1,1,0.774314,0.842249
7.4000,1.228868,1.161682,1.563090,1.690407,1,1,0.771132,0.838318
7.4500,1.231927,1.165512,1.557320,1.683119,1,1,0.768073,0.834488
7.5000,1.234868,1.169244,1.551776,1.676021,1,1,0.765132,0.830756
7.5500,1.237695,1.172880,1.546451,1.669110,1,1,0.762305,0.827120
7.6000,1.240410,1.176421,1.541338,1.662381,1,1,0.759590,0.823579
7.6500,1.243017,1.179869,1.536430,1.655832,1,1,0.756983,0.820131
7.7000,1.245520,1.183227,1.531721,1.649457,1,1,0.754480,0.816773
7.7500,1.247921,1.186495,1.527204,1.643255,1,1,0.752079,0.813505
7.8000,1.250224,1.189677,1.522873,1.637220,1,1,0.749776,0.810323
7.8500,1.252432,1.192773,1.518723,1.631349,1,1,0.747568,0.807227
7.9000,1.254549,1.195786,1.514746,1.625638,1,1,0.745451,0.804214
7.9500,1.256577,1.198717,1.510936,1.620084,1,1,0.743423,0.801283
8.0000,1.258520,1.201569,1.507288,1.614683,1,1,0.741480,0.798431
8.0500,1.260380,1.204343,1.503797,1.609430,1,1,0.739620,0.795657
8.1000,1.262161,1.207042,1.500455,1.604323,1,1,0.737839,0.792958
8.1500,1.263865,1.209667,1.497258,1.599357,1,1,0.736135,0.790333
8.2000,1.265496,1.212221,1.494200,1.594528,1,1,0.734504,0.787779
8.2500,1.267056,1.214704,1.491275,1.589833,1,1,0.732944,0.785296
8.3000,1.268548,1.217120,1.488479,1.585268,1,1,0.731452,0.782880
8.3500,1.269975,1.219470,1.485805,1.580829,1,1,0.730025,0.780530
8.4000,1.271339,1.221755,1.483250,1.576513,1,1,0.728661,0.778245
8.4500,1.272643,1.223978,1.480807,1.572315,1,1,0.727357,0.776022
8.5000,1.273890,1.226141,1.478472,1.568233,1,1,0.726110,0.773859
8.5500,1.275082,1.228246,1.476240,1.564262,1,1,0.724918,0.771754
8.6000,1.276222,1.230294,1.474106,1.560400,1,1,0.723778,0.769706
8.6500,1.277312,1.232287,1.472065,1.556642,1,1,0.722688,0.767713
8.7000,1.278355,1.234227,1.470114,1.552985,1,1,0.721645,0.765773
8.7500,1.279353,1.236116,1.468248,1.549425,1,1,0.720647,0.763884
8.8000,1.280308,1.237956,1.466462,1.545960,1,1,0.719692,0.762044
8.8500,1.281222,1.239747,1.464752,1.542585,1,1,0.718778,0.760253
8.9000,1.282098,1.241493,1.463115,1.539298,1,1,0.717902,0.758507
8.9500,1.282938,1.243195,1.461545,1.536096,1,1,0.717062,0.756805
9.0000,1.283743,1.244853,1.460040,1.532974,1,1,0.716257,0.755147
9.0500,1.284516,1.246471,1.458595,1.529931,1,1,0.715484,0.753529
