time,mean_current,resolved_phase,epsilon_eff,slips,baseline_magnitude,gated_magnitude,baseline_entropy,gated_entropy,gated_alpha,gated_mu
3.9000,0.938470,1.171003,0.180000,0,1.669870,1.546556,0.956467,0.959284,1.013428,0.586252
3.9500,0.938470,1.184145,0.180000,0,1.668479,1.544291,0.956383,0.959229,1.013456,0.586229
4.0000,0.938473,1.197288,0.180000,0,1.667122,1.542100,0.956284,0.959158,1.013497,0.586196
4.0500,0.938480,1.210435,0.180000,0,1.665799,1.539982,0.956170,0.959070,1.013551,0.586152
4.1000,0.938489,1.223589,0.180000,0,1.664509,1.537936,0.956041,0.958965,1.013617,0.586098
4.1500,0.938502,1.236754,0.180000,0,1.663252,1.535961,0.955898,0.958843,1.013696,0.586034
4.2000,0.938517,1.249932,0.180000,0,1.662027,1.534057,0.955740,0.958705,1.013787,0.585960
4.2500,0.938536,1.263126,0.180000,0,1.660833,1.532223,0.955567,0.958550,1.013891,0.585875
4.3000,0.938557,1.276339,0.180000,0,1.659670,1.530459,0.955380,0.958378,1.014007,0.585780
4.3500,0.938581,1.289575,0.180000,0,1.658535,1.528763,0.955179,0.958190,1.014136,0.585676
4.4000,0.938608,1.302835,0.180000,0,1.657430,1.527136,0.954964,0.957986,1.014276,0.585561
4.4500,0.938637,1.316122,0.180000,0,1.656351,1.525575,0.954735,0.957766,1.014429,0.585436
4.5000,0.938668,1.329440,0.180000,0,1.655300,1.524080,0.954492,0.957529,1.014594,0.585301
4.5500,0.938701,1.342791,0.180000,0,1.654274,1.522651,0.954235,0.957276,1.014771,0.585156
4.6000,0.938736,1.356177,0.180000,0,1.653272,1.521285,0.953964,0.957007,1.014959,0.585002
4.6500,0.938773,1.369602,0.180000,0,1.652294,1.519982,0.953680,0.956722,1.015159,0.584838
4.7000,0.938810,1.383068,0.180000,0,1.651337,1.518741,0.953382,0.956421,1.015371,0.584663
4.7500,0.938849,1.396576,0.180000,0,1.650403,1.517561,0.953071,0.956105,1.015595,0.584480
4.8000,0.938889,1.410130,0.180000,0,1.649488,1.516440,0.952747,0.955772,1.015829,0.584286
4.8500,0.938929,1.423732,0.180000,0,1.648591,1.515378,0.952409,0.955424,1.016075,0.584083
4.9000,0.938969,1.437385,0.180000,0,1.647713,1.514373,0.952058,0.955061,1.016332,0.583871
4.9500,0.939010,1.451089,0.180000,0,1.646851,1.513423,0.951694,0.954683,1.016600,0.583649
5.0000,0.939050,1.464848,0.180000,0,1.646004,1.512529,0.951318,0.954289,1.016879,0.583417
5.0500,0.939090,1.478663,0.180000,0,1.645171,1.511688,0.950928,0.953880,1.017168,0.583176
5.1000,0.939129,1.492536,0.180000,0,1.644351,1.510900,0.950526,0.953455,1.017469,0.582926
5.1500,0.939167,1.506470,0.180000,0,1.643542,1.510162,0.950111,0.953016,1.017779,0.582667
5.2000,0.939206,1.520469,0.180001,0,1.642744,1.509474,0.949683,0.952562,1.018100,0.582399
5.2500,0.939248,1.534545,0.180005,0,1.641955,1.508835,0.949243,0.952094,1.018431,0.582121
5.3000,0.939312,1.548748,0.180021,0,1.641173,1.508242,0.948791,0.951611,1.018772,0.581835
5.3500,0.939462,1.563251,0.180084,0,1.640398,1.507695,0.948327,0.951113,1.019122,0.581540
5.4000,0.939900,1.578613,0.180306,0,1.639623,1.507189,0.947851,0.950602,1.019482,0.581236
5.4500,0.941186,1.596427,0.181004,0,1.638838,1.506716,0.947366,0.950079,1.019852,0.580924
5.5000,0.944611,1.620699,0.182970,0,1.638002,1.506240,0.946873,0.949547,1.020228,0.580604
5.5500,0.952390,1.660212,0.187924,0,1.636967,1.505631,0.946380,0.949012,1.020611,0.580279
5.6000,0.965831,1.731490,0.199069,0,1.635163,1.504365,0.945892,0.948481,1.020994,0.579952
5.6500,0.976159,1.859499,0.221382,0,1.630645,1.500594,0.945396,0.947937,1.021374,0.579627
5.7000,0.941795,2.065252,0.260990,0,1.618571,1.489641,0.944815,0.947302,1.021762,0.579295
5.7500,0.779919,2.304556,0.322952,0,1.593957,1.466552,0.943995,0.946418,1.022213,0.578907
5.8000,0.535437,2.264160,0.407553,0,1.565219,1.439300,0.942939,0.945295,1.022839,0.578367
5.8500,0.603174,1.989602,0.506671,2,1.546111,1.421446,0.950463,0.952753,1.023631,0.577680
